Icon,Code,Name,Icon ,Code ,Name 
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/arrow-down.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/arrow-down.svg)"></span>, <code>E045</code>, arrow-down, 0xf0045, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/battery-high.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/battery-high.svg)"></span>, <code>F2A3</code>, battery-high, 0xf12a3
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/arrow-down-box.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/arrow-down-box.svg)"></span>, <code>E6C0</code>, arrow-down-box, 0xf06c0, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/battery-low.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/battery-low.svg)"></span>, <code>F2A1</code>, battery-low, 0xf12a1
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/arrow-left.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/arrow-left.svg)"></span>, <code>E04D</code>, arrow-left, 0xf004d, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/battery-medium.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/battery-medium.svg)"></span>, <code>F2A2</code>, battery-medium, 0xf12a2
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/arrow-right.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/arrow-right.svg)"></span>, <code>E054</code>, arrow-right, 0xf0054, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/battery-outline.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/battery-outline.svg)"></span>, <code>E08E</code>, battery-outline, 0xf008e
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/arrow-up.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/arrow-up.svg)"></span>, <code>E05D</code>, arrow-up, 0xf005d, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/ev-station.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/ev-station.svg)"></span>, <code>E5F1</code>, ev-station, 0xf05f1
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/arrow-up-box.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/arrow-up-box.svg)"></span>, <code>E6C3</code>, arrow-up-box, 0xf06c3, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/leaf.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/leaf.svg)"></span>, <code>E32A</code>, leaf, 0xf032a
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/chevron-down.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/chevron-down.svg)"></span>, <code>E140</code>, chevron-down, 0xf0140, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/lightning-bolt.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/lightning-bolt.svg)"></span>, <code>F40B</code>, lightning-bolt, 0xf140b
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/chevron-left.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/chevron-left.svg)"></span>, <code>E141</code>, chevron-left, 0xf0141, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/power.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/power.svg)"></span>, <code>E425</code>, power, 0xf0425
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/chevron-right.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/chevron-right.svg)"></span>, <code>E142</code>, chevron-right, 0xf0142, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/power-plug.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/power-plug.svg)"></span>, <code>E6A5</code>, power-plug, 0xf06a5
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/chevron-up.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/chevron-up.svg)"></span>, <code>E143</code>, chevron-up, 0xf0143, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/ceiling-light.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/ceiling-light.svg)"></span>, <code>E769</code>, ceiling-light, 0xf0769
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/subdirectory-arrow-left.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/subdirectory-arrow-left.svg)"></span>, <code>E60C</code>, subdirectory-arrow-left, 0xf060c, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/coach-lamp.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/coach-lamp.svg)"></span>, <code>F020</code>, coach-lamp, 0xf1020
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/air-conditioner.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/air-conditioner.svg)"></span>, <code>E01B</code>, air-conditioner, 0xf001b, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/desk-lamp.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/desk-lamp.svg)"></span>, <code>E95F</code>, desk-lamp, 0xf095f
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/cloud-search-outline.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/cloud-search-outline.svg)"></span>, <code>E957</code>, cloud-search-outline, 0xf0957, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/floor-lamp.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/floor-lamp.svg)"></span>, <code>E8DD</code>, floor-lamp, 0xf08dd
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/fire.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/fire.svg)"></span>, <code>E238</code>, fire, 0xf0238, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/lamp.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/lamp.svg)"></span>, <code>E6B5</code>, lamp, 0xf06b5
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/radiator.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/radiator.svg)"></span>, <code>E438</code>, radiator, 0xf0438, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/lightbulb.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/lightbulb.svg)"></span>, <code>E335</code>, lightbulb, 0xf0335
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/radiator-disabled.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/radiator-disabled.svg)"></span>, <code>EAD7</code>, radiator-disabled, 0xf0ad7, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/lightbulb-on.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/lightbulb-on.svg)"></span>, <code>E6E8</code>, lightbulb-on, 0xf06e8
